type,Sample,Pl,one ,five,ten,Blanch
TIP,KU04,5940,8865.12,7339.2,6489.12,118.8
TIP,PU01,6143.28,5451.6,7632.24,3297.36,491.04
TIP,PU02,6489.12,5536.08,7803.84,2782.56,332.64
TIP,PU03,5419.92,4765.2,4688.64,1919.28,475.2
TIP,MU01,4897.2,3529.68,3368.64,3706.56,216.48
TIP,MU03,2653.2,3524.4,4263.6,4350.72,353.76
Middle,KU04,7508.16,6877.2,6763.68,6475.92,97.68
Middle,PU01,7022.4,12706.32,5947.92,5678.64,435.6
Middle,PU02,5002.8,6066.72,5652.24,4554,190.08
Middle,PU03,5707.68,5752.56,5063.52,4260.96,443.52
Middle,MU01,5108.4,3904.56,3703.92,4564.56,319.44
Middle,MU03,4300.56,4503.84,3593.04,4709.76,583.44
Bottom,KU04,7059.36,7590,6922.08,6016.56,200.64
Bottom,PU01,7954.32,10385.76,8178.72,8426.88,694.32
Bottom,PU02,6774.24,7964.88,6383.52,9562.08,219.12
Bottom,PU03,5823.84,6676.56,4105.2,7083.12,417.12
Bottom,MU01,3920.4,5852.88,4348.08,4678.08,443.52
Bottom,MU03,3983.76,5998.08,3812.16,5768.4,652.08
